                                                                                                                             
{'loss': 6.7968, 'grad_norm': 0.84765625, 'learning_rate': 0.0001379501385041551, 'epoch': 0.02}
{'loss': 6.6137, 'grad_norm': 0.76953125, 'learning_rate': 0.00013878116343490305, 'epoch': 0.02}
{'loss': 6.6196, 'grad_norm': 0.76171875, 'learning_rate': 0.00013961218836565096, 'epoch': 0.02}
{'loss': 6.7916, 'grad_norm': 0.734375, 'learning_rate': 0.00014044321329639888, 'epoch': 0.02}
{'loss': 6.6542, 'grad_norm': 0.77734375, 'learning_rate': 0.0001412742382271468, 'epoch': 0.02}
{'loss': 6.5249, 'grad_norm': 0.80078125, 'learning_rate': 0.0001421052631578947, 'epoch': 0.02}
{'loss': 6.7027, 'grad_norm': 0.7578125, 'learning_rate': 0.00014293628808864265, 'epoch': 0.02}
{'loss': 6.7287, 'grad_norm': 0.7890625, 'learning_rate': 0.00014376731301939057, 'epoch': 0.02}
{'loss': 6.6158, 'grad_norm': 0.765625, 'learning_rate': 0.00014459833795013848, 'epoch': 0.02}
{'loss': 6.6602, 'grad_norm': 0.78125, 'learning_rate': 0.0001454293628808864, 'epoch': 0.02}
{'loss': 6.5409, 'grad_norm': 0.87109375, 'learning_rate': 0.00014626038781163434, 'epoch': 0.02}
{'loss': 6.5244, 'grad_norm': 0.76171875, 'learning_rate': 0.00014709141274238226, 'epoch': 0.02}
{'loss': 6.6525, 'grad_norm': 0.80859375, 'learning_rate': 0.00014792243767313017, 'epoch': 0.02}
{'loss': 6.5435, 'grad_norm': 0.71484375, 'learning_rate': 0.0001487534626038781, 'epoch': 0.02}
{'loss': 6.606, 'grad_norm': 0.8203125, 'learning_rate': 0.00014958448753462603, 'epoch': 0.02}
{'loss': 6.6127, 'grad_norm': 0.78515625, 'learning_rate': 0.00015041551246537394, 'epoch': 0.03}
{'loss': 6.6002, 'grad_norm': 0.77734375, 'learning_rate': 0.00015124653739612186, 'epoch': 0.03}
{'loss': 6.6289, 'grad_norm': 0.7578125, 'learning_rate': 0.0001520775623268698, 'epoch': 0.03}
{'loss': 6.4764, 'grad_norm': 0.80078125, 'learning_rate': 0.00015290858725761772, 'epoch': 0.03}
{'loss': 6.4001, 'grad_norm': 0.73828125, 'learning_rate': 0.00015373961218836563, 'epoch': 0.03}
{'loss': 6.6525, 'grad_norm': 0.89453125, 'learning_rate': 0.00015457063711911355, 'epoch': 0.03}
{'loss': 6.822, 'grad_norm': 0.859375, 'learning_rate': 0.0001554016620498615, 'epoch': 0.03}
{'loss': 6.5503, 'grad_norm': 0.92578125, 'learning_rate': 0.0001562326869806094, 'epoch': 0.03}
